ID,Area,Feature,User Story,Expected Behavior,Code Refs,Status,Test Notes
TERM-01,Terminal,Text selection,"As a user, I want to drag-select terminal text so I can copy output",Click-drag selects cells clamped to grid bounds; selection highlighted in theme selection color; width-0 (wide-glyph trailing) cells skipped; new keystroke clears selection,MetalTerminalView.swift selectionAnchor/cellAt/selectedText,Pass,verified static
TERM-02,Terminal,Copy selection (Cmd+C),"As a user, I want Cmd+C to copy the selection so I can paste elsewhere",Cmd+C copies selected text; trailing spaces trimmed per line except last; if no selection copies whole visible grid,App.swift copy; ContentView.swift visibleTerminalText; MetalTerminalView.swift,Pass,BUG-15; fixed
TERM-03,Terminal,Paste with sanitization (Cmd+V),"As a user, I want safe paste so prompt prefixes don't corrupt commands","Cmd+V sanitizes clipboard (CR->LF, strips shell prompt prefixes); multi-line paste shows [Pasted text #N + M lines] placeholder; beeps if input disabled",ContentView.swift paste/placeholder; MetalTerminalView.swift,Pass,BUG-11; fixed
TERM-04,Terminal,Bracketed paste mode,"As a shell user, I want multi-line pastes wrapped so they paste as one unit","If grid.term.bracketedPasteMode, wrap paste in ESC[200~..ESC[201~; else send raw newlines as CR",ContentView.swift; core grid.zig bracketed_paste_mode,Pass,verified static
TERM-05,Terminal,File/image drag-and-drop,"As a user, I want to drag a file onto the terminal to insert its path",draggingEntered shows copy cursor when input enabled; performDragOperation extracts first URL and calls onFileDrop,MetalTerminalView.swift draggingEntered/performDragOperation,Pass,verified static
TERM-06,Terminal,OSC 8 hyperlinks (Cmd+click),"As a user, I want to Cmd+click embedded links to open them",Cells carry url_id; Cmd-hover over link shows pointing-hand + underline; Cmd+click opens URL in default browser,MetalTerminalView.swift mouseDown/updateLinkCursor; core grid.zig internUrl/cellUrl,PARTIAL,"BUG-29 deferred (rare url_id wraparound, documented)"
TERM-07,Terminal,SGR mouse reporting,"As a TUI app (vim/htop), I want mouse events reported when I enable mouse mode","When mouseModeEnabled and app set DECSET 1000/1002/1003, clicks/drag/scroll reported in SGR (CSI<b;col;rowM/m); motion throttled to 30Hz",MetalTerminalView.swift reportClick/reportMotion/emitSGR; core grid.zig mouse_mode,PARTIAL,"BUG-25 deferred (legacy X10 mouse, documented limitation)"
TERM-08,Terminal,Mouse mode toggle,"As a user, I want to disable mouse reporting so I can select text normally","Session menu toggle gates mouseModeEnabled; when off, mouse events fall through to selection regardless of DECSET",App.swift mouseMode; MetalTerminalView.swift shouldReportMouse,Pass,verified static
TERM-09,Terminal,Scrollback navigation,"As a user, I want to scroll history without disturbing live view",Shift+PageUp/Down scroll ~rows-1; Shift+Home oldest; Shift+End live; wheel scrolls and clears selection; auto-scroll on new output only when already at live view — a scrolled-back view stays anchored while async output (peer commands, claude streaming) arrives; wheel in alt-screen TUIs reported to the app when it requested mouse reporting,MetalTerminalView.swift handleScrollbackKey/scrollWheel; GridModel.swift feed/scroll; core grid.zig scrollback,Pass,"BUG-34,BUG-35 fixed; verified live in 2-user session"
TERM-10,Terminal,Multi-user colored cursors,"As a participant, I want to see each peer's cursor so I can track who is where","One UserCursor per participant rendered as full-cell colored block; local cursor blinks (1s), peer cursors solid; text re-drawn in contrasting color over cursor",CursorOverlay.swift build; TerminalRenderer.swift pass4; GridModel.swift cursors,Pass,verified static
